Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,2.52,2.53,2.47,2.49,000,2.49
2013-06-28,2.50,2.55,2.48,2.48,000,2.48
2013-06-27,2.50,2.52,2.47,2.48,000,2.48
2013-06-26,2.57,2.58,2.51,2.54,000,2.54
2013-06-25,2.50,2.61,2.50,2.59,000,2.59
2013-06-24,2.65,2.66,2.52,2.55,000,2.55
2013-06-21,2.39,2.51,2.38,2.51,000,2.51
2013-06-20,2.42,2.45,2.36,2.42,000,2.42
2013-06-19,2.17,2.33,2.17,2.31,000,2.31
2013-06-18,2.20,2.22,2.17,2.18,000,2.18
2013-06-17,2.12,2.17,2.12,2.17,000,2.17
2013-06-14,2.12,2.15,2.10,2.13,000,2.13
2013-06-13,2.23,2.23,2.16,2.17,000,2.17
2013-06-12,2.19,2.23,2.17,2.23,000,2.23
2013-06-11,2.27,2.27,2.17,2.19,000,2.19
2013-06-10,2.19,2.23,2.17,2.21,000,2.21
2013-06-07,2.09,2.17,2.05,2.16,000,2.16
2013-06-06,2.08,2.13,2.00,2.08,000,2.08
2013-06-05,2.11,2.13,2.08,2.10,000,2.10
2013-06-04,2.13,2.16,2.12,2.14,000,2.14
2013-06-03,2.17,2.17,2.09,2.13,000,2.13
2013-05-31,2.09,2.21,2.08,2.16,000,2.16
2013-05-30,2.15,2.16,2.09,2.12,000,2.12
2013-05-29,2.15,2.17,2.12,2.12,000,2.12
2013-05-28,2.04,2.14,2.04,2.13,000,2.13
2013-05-24,2.01,2.03,1.98,2.01,000,2.01
2013-05-23,2.01,2.05,1.98,2.02,000,2.02
2013-05-22,1.93,2.04,1.89,2.03,000,2.03
2013-05-21,1.96,2.00,1.92,1.94,000,1.94
2013-05-20,1.93,1.98,1.92,1.97,000,1.97
2013-05-17,1.88,1.96,1.88,1.95,000,1.95
2013-05-16,1.95,1.96,1.86,1.87,000,1.87
2013-05-15,1.96,1.98,1.92,1.94,000,1.94
2013-05-14,1.91,1.96,1.89,1.95,000,1.95
2013-05-13,1.91,1.94,1.91,1.92,000,1.92
2013-05-10,1.85,1.93,1.84,1.90,000,1.90
2013-05-09,1.78,1.82,1.78,1.81,000,1.81
2013-05-08,1.79,1.79,1.75,1.76,000,1.76
2013-05-07,1.78,1.79,1.77,1.78,000,1.78
2013-05-06,1.75,1.78,1.74,1.77,000,1.77
2013-05-03,1.63,1.75,1.63,1.75,000,1.75
2013-05-02,1.64,1.66,1.62,1.63,000,1.63
2013-05-01,1.66,1.66,1.61,1.64,000,1.64
2013-04-30,1.65,1.68,1.64,1.67,000,1.67
2013-04-29,1.66,1.67,1.65,1.67,000,1.67
2013-04-26,1.69,1.69,1.66,1.66,000,1.66
2013-04-25,1.71,1.73,1.71,1.71,000,1.71
2013-04-24,1.71,1.71,1.69,1.70,000,1.70
2013-04-23,1.67,1.71,1.64,1.70,000,1.70
2013-04-22,1.72,1.72,1.68,1.70,000,1.70
2013-04-19,1.70,1.71,1.69,1.70,000,1.70
2013-04-18,1.71,1.71,1.68,1.68,000,1.68
2013-04-17,1.71,1.72,1.67,1.70,000,1.70
2013-04-16,1.73,1.73,1.71,1.72,000,1.72
2013-04-15,1.71,1.73,1.70,1.70,000,1.70
2013-04-12,1.76,1.76,1.72,1.72,000,1.72
2013-04-11,1.80,1.80,1.78,1.79,000,1.79
2013-04-10,1.77,1.80,1.77,1.80,000,1.80
2013-04-09,1.75,1.75,1.72,1.75,000,1.75
